num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_agent_steps_sampled_this_iter,num_agent_steps_trained_this_iter,num_agent_steps_sampled_throughput_per_sec,num_agent_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/support_policy/num_agent_steps_trained,info/learner/support_policy/num_grad_updates_lifetime,info/learner/support_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/assault_policy/num_agent_steps_trained,info/learner/assault_policy/num_grad_updates_lifetime,info/learner/assault_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/defend_policy/num_agent_steps_trained,info/learner/defend_policy/num_grad_updates_lifetime,info/learner/defend_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/support_policy/learner_stats/allreduce_latency,info/learner/support_policy/learner_stats/grad_gnorm,info/learner/support_policy/learner_stats/cur_kl_coeff,info/learner/support_policy/learner_stats/cur_lr,info/learner/support_policy/learner_stats/total_loss,info/learner/support_policy/learner_stats/policy_loss,info/learner/support_policy/learner_stats/vf_loss,info/learner/support_policy/learner_stats/vf_explained_var,info/learner/support_policy/learner_stats/kl,info/learner/support_policy/learner_stats/entropy,info/learner/support_policy/learner_stats/entropy_coeff,info/learner/assault_policy/learner_stats/allreduce_latency,info/learner/assault_policy/learner_stats/grad_gnorm,info/learner/assault_policy/learner_stats/cur_kl_coeff,info/learner/assault_policy/learner_stats/cur_lr,info/learner/assault_policy/learner_stats/total_loss,info/learner/assault_policy/learner_stats/policy_loss,info/learner/assault_policy/learner_stats/vf_loss,info/learner/assault_policy/learner_stats/vf_explained_var,info/learner/assault_policy/learner_stats/kl,info/learner/assault_policy/learner_stats/entropy,info/learner/assault_policy/learner_stats/entropy_coeff,info/learner/defend_policy/learner_stats/allreduce_latency,info/learner/defend_policy/learner_stats/grad_gnorm,info/learner/defend_policy/learner_stats/cur_kl_coeff,info/learner/defend_policy/learner_stats/cur_lr,info/learner/defend_policy/learner_stats/total_loss,info/learner/defend_policy/learner_stats/policy_loss,info/learner/defend_policy/learner_stats/vf_loss,info/learner/defend_policy/learner_stats/vf_explained_var,info/learner/defend_policy/learner_stats/kl,info/learner/defend_policy/learner_stats/entropy,info/learner/defend_policy/learner_stats/entropy_coeff
0,0,0,8040,8040,201,201,8040,8040,77.79851029466558,77.79851029466558,8040,8040,8040,8040,8040,False,1,default,2026-03-05_09-04-51,1772701491,103.34410405158997,103.34410405158997,7,3b52875c0a65,172.26.0.2,103.34410405158997,1,201,201,8040,8040,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,103343.89,0.011,103343.834,102488.976,848.125,236.993,0.005,201,201,8040,8040,4.88843537414966,43.75034013605442,[],[],482.4,15.5,14.5,459.42857142857144,21.5,20.5,482.4,15.5,14.5,0.0,0.5,0.20000000000000007,0.0003,0.20908947388331095,0.0367462073918432,0.286950243016084,0.2135972301165263,0.12079966329038143,-0.47082086801528933,0.010000000000000002,0.0,0.5,0.19999999999999996,0.0003,0.6048877806890578,0.02915694078962718,1.0956729735646928,0.037248289301281885,0.11622982356874716,-0.4648392590738478,0.01,0.0,0.5,0.20000000000000007,0.0003,0.5019323706626893,0.01667081701258818,0.915614112218221,0.08088740507761637,0.11351850405335426,-0.4750793566306432,0.010000000000000002
0,0,0,16080,16080,402,402,8040,8040,78.66569585733002,78.66569585733002,16080,16080,16080,8040,16080,False,2,default,2026-03-05_09-06-34,1772701594,102.20480513572693,205.5489091873169,7,3b52875c0a65,172.26.0.2,205.5489091873169,2,402,402,16080,16080,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,102774.276,0.012,102774.221,101930.771,836.965,240.153,0.004,402,402,16080,16080,4.816438356164383,43.98904109589041,[],[],482.4,45.5,14.5,459.42857142857144,63.5,20.5,482.4,45.5,14.5,0.0,0.5,0.3000000000000001,0.0002983919999999999,0.1556429808338483,-0.008393369304637114,0.2978133484721184,0.3925189892450968,0.03555525583118045,-0.4523717711369197,0.009865999999999996,0.0,0.5,0.3000000000000001,0.00029839199999999997,0.5399366822980699,0.00017010946647219715,1.0424253372918992,0.3268479165576753,0.047549370325647204,-0.43473500155267264,0.009866,0.0,0.5,0.3000000000000001,0.0002983919999999999,0.29538547645012536,-0.004638834895255665,0.5644134918848673,0.18478195468584696,0.04432262598032442,-0.4582178850968679,0.009865999999999996
0,0,0,24120,24120,603,603,8040,8040,77.50075304917435,77.50075304917435,24120,24120,24120,8040,24120,False,3,default,2026-03-05_09-08-18,1772701698,103.74147343635559,309.2903826236725,7,3b52875c0a65,172.26.0.2,309.2903826236725,3,603,603,24120,24120,3436.685977629468,3436.685977629468,3436.685977629468,500.0,500,0,1,3436.685977629468,3436.685977629468,3436.685977629468,1,103096.496,0.013,103096.442,102225.891,863.676,232.726,0.004,603,603,24120,24120,4.858108108108108,44.015540540540535,[3436.685977629468],[500],482.4,75.5,14.5,459.42857142857144,105.5,20.5,482.4,75.5,14.5,0.0,0.5,0.4499999999999999,0.00029678399999999986,0.24814674034714698,-0.01686897463320444,0.4943451901276906,0.44447002609570824,0.03003162667155266,-0.4448095460732778,0.009732000000000003,0.0,0.5,0.45000000000000007,0.00029678399999999997,0.40500240134341375,-0.003482921456452459,0.7785478716804868,0.5967654486497244,0.03353249256075027,-0.42352819229875294,0.009732000000000003,0.0,0.5,0.4499999999999999,0.00029678399999999986,0.3079551622271538,-0.018470379120359818,0.6102666785319646,0.24475687146186828,0.03756717449869029,-0.45077781478563944,0.009732000000000003
0,0,0,32160,32160,804,804,8040,8040,78.37569669191555,78.37569669191555,32160,32160,32160,8040,32160,False,4,default,2026-03-05_09-10-01,1772701801,102.58326387405396,411.87364649772644,7,3b52875c0a65,172.26.0.2,411.87364649772644,4,804,804,32160,32160,3436.685977629468,3436.685977629468,3436.685977629468,500.0,500,0,0,3436.685977629468,3436.685977629468,3436.685977629468,0,102968.079,0.013,102968.025,102094.243,867.037,231.824,0.004,804,804,32160,32160,4.711643835616439,44.03904109589041,[3436.685977629468],[500],482.4,105.5,14.5,459.42857142857144,147.5,20.5,482.4,105.5,14.5,0.0,0.5,0.6750000000000003,0.00029517599999999997,0.26143028686443964,-0.016351802491893372,0.5194710622231166,0.356319405635198,0.02055739051041504,-0.4344992130994797,0.009597999999999999,0.0,0.5,0.675,0.0002951759999999999,0.17340483924462682,-0.0010327949809531372,0.3014043938545954,0.46320856894765583,0.029271746168628203,-0.4143582383791606,0.009598,0.0,0.5,0.6750000000000003,0.00029517599999999997,0.34922099312146504,-0.01575218097617229,0.6848375757535299,0.26314166784286497,0.027206847226868072,-0.43652479151884716,0.009597999999999999
0,0,0,40200,40200,1005,1005,8040,8040,77.73629391421933,77.73629391421933,40200,40200,40200,8040,40200,False,5,default,2026-03-05_09-11-45,1772701905,103.42710852622986,515.3007550239563,7,3b52875c0a65,172.26.0.2,515.3007550239563,5,1005,1005,40200,40200,3436.685977629468,3212.652362607997,3324.669170118733,500.0,1000,0,1,3436.685977629468,3212.652362607997,3324.669170118733,1,103059.784,0.013,103059.729,102175.19,877.764,228.991,0.004,1005,1005,40200,40200,5.512162162162163,44.07364864864864,"[3436.685977629468, 3212.652362607997]","[500, 500]",482.4,135.5,14.5,459.42857142857144,189.5,20.5,482.4,135.5,14.5,0.0,0.5,1.0125,0.0002935679999999999,0.2907341515024503,-0.01814880911260843,0.5700636883576711,0.3162314792474111,0.01960077131855845,-0.42321767608324684,0.009464000000000002,0.0,0.5,1.0125000000000004,0.0002935679999999999,0.408107917933237,-0.0037484714051797276,0.7679273202305749,0.2496717856043861,0.023803957782590823,-0.4005931693883169,0.009464000000000002,0.0,0.5,1.0125,0.0002935679999999999,0.47014698485533396,-0.005289941498388847,0.907890643676122,0.4279157439867655,0.017313876122837732,-0.41856495837370555,0.009464000000000002
0,0,0,48240,48240,1206,1206,8040,8040,78.47403428560578,78.47403428560578,48240,48240,48240,8040,48240,False,6,default,2026-03-05_09-13-27,1772702007,102.45476031303406,617.7555153369904,7,3b52875c0a65,172.26.0.2,617.7555153369904,6,1206,1206,48240,48240,3436.685977629468,3212.652362607997,3324.669170118733,500.0,1000,0,0,3436.685977629468,3212.652362607997,3324.669170118733,0,102958.867,0.013,102958.811,102066.124,885.863,226.897,0.004,1206,1206,48240,48240,4.903424657534247,44.10342465753425,"[3436.685977629468, 3212.652362607997]","[500, 500]",482.4,165.5,14.5,459.42857142857144,231.5,20.5,482.4,165.5,14.5,0.0,0.5,1.0125,0.00029196,0.39604634841283165,-0.01702114795334637,0.7848334590593974,0.3041810194651286,0.016620368028331237,-0.40971498787403104,0.009330000000000001,0.0,0.5,1.5187500000000003,0.00029196,0.49334100882212323,-0.013223626229557254,0.9569741303012484,0.2384106573604402,0.016099197636885082,-0.388737012942632,0.00933,0.0,0.5,1.0125,0.00029196,0.14335693505903085,-0.019843813398620114,0.2785312806566556,0.6275363008181254,0.01989610510051231,-0.40624842246373494,0.009330000000000001
0,0,0,56280,56280,1407,1407,8040,8040,78.31677320535258,78.31677320535258,56280,56280,56280,8040,56280,False,7,default,2026-03-05_09-15-10,1772702110,102.66051197052002,720.4160273075104,7,3b52875c0a65,172.26.0.2,720.4160273075104,7,1407,1407,56280,56280,3436.685977629468,3212.652362607997,3324.669170118733,500.0,1000,0,0,3436.685977629468,3212.652362607997,3324.669170118733,0,102916.174,0.014,102916.117,102014.64,894.162,224.791,0.004,1407,1407,56280,56280,5.409523809523809,44.1156462585034,"[3436.685977629468, 3212.652362607997]","[500, 500]",482.4,195.5,14.5,459.42857142857144,273.5,20.5,482.4,195.5,14.5,0.0,0.5,1.0125,0.000290352,0.31152839710315067,-0.018833967701842386,0.6182919313510259,0.4405487914880117,0.01726477483692482,-0.40624369780222574,0.009196,0.0,0.5,1.5187500000000003,0.000290352,0.339007195972261,-0.0016417506516778044,0.6231471307220913,0.6683005562850407,0.01684727160959266,-0.3793585669426691,0.009195999999999998,0.0,0.5,1.0125,0.000290352,0.16723000332713128,-0.01023846462679406,0.3055081749955813,0.6679058849811554,0.02072493558904777,-0.4056529094775518,0.009196
0,0,0,64320,64320,1608,1608,8040,8040,77.76834564853272,77.76834564853272,64320,64320,64320,8040,64320,False,8,default,2026-03-05_09-16-54,1772702214,103.38461494445801,823.8006422519684,7,3b52875c0a65,172.26.0.2,823.8006422519684,8,1608,1608,64320,64320,3436.685977629468,3212.652362607997,3291.20810198995,500.0,1500,0,1,3436.685977629468,3212.652362607997,3291.20810198995,1,102974.651,0.014,102974.592,102081.589,885.496,226.991,0.004,1608,1608,64320,64320,4.798648648648649,44.10337837837838,"[3436.685977629468, 3212.652362607997, 3224.285965732385]","[500, 500, 500]",482.4,225.5,14.5,459.42857142857144,315.5,20.5,482.4,225.5,14.5,0.0,0.5,1.0125,0.00028874399999999996,0.23175270557403566,-0.023816166181738176,0.4696596880753835,0.5215325673421224,0.01693531118022899,-0.3963839828968048,0.009062000000000004,0.0,0.5,1.5187500000000003,0.000288744,0.5108925685996101,-0.013138845496411835,0.9998446603616079,0.6417697426818666,0.013738966198139852,-0.3578713983297348,0.009062,0.0,0.5,1.5187499999999996,0.00028874399999999996,0.41937885582447054,-0.02262823230897387,0.8345630168914795,0.4510517517725627,0.013937526241594849,-0.39262475272019703,0.009062000000000004
0,0,0,72360,72360,1809,1809,8040,8040,78.1162776524146,78.1162776524146,72360,72360,72360,8040,72360,False,9,default,2026-03-05_09-18-37,1772702317,102.9242262840271,926.7248685359955,7,3b52875c0a65,172.26.0.2,926.7248685359955,9,1809,1809,72360,72360,3436.685977629468,3212.652362607997,3291.20810198995,500.0,1500,0,0,3436.685977629468,3212.652362607997,3291.20810198995,0,102968.967,0.013,102968.908,102074.551,886.671,226.69,0.004,1809,1809,72360,72360,4.711643835616438,44.11164383561645,"[3436.685977629468, 3212.652362607997, 3224.285965732385]","[500, 500, 500]",482.4,255.5,14.5,459.42857142857144,357.5,20.5,482.4,255.5,14.5,0.0,0.5,1.0125,0.00028713600000000006,0.15306186340749264,-0.02017747756714622,0.3035821050405502,0.6690044681231181,0.017830703338161887,-0.3802309423685074,0.008927999999999998,0.0,0.5,1.5187500000000003,0.00028713599999999996,0.5232536629551933,-0.013485020558748926,1.020592260928381,0.6218945369833991,0.015371538699452816,-0.34688948804423925,0.008928,0.0,0.5,1.5187499999999996,0.00028713600000000006,0.47781826655069987,-0.020512077709039053,0.9462070087591807,0.4044792274634043,0.014339875748070578,-0.38621724843978883,0.008927999999999998
0,0,0,80400,80400,2010,2010,8040,8040,77.98726472115821,77.98726472115821,80400,80400,80400,8040,80400,False,10,default,2026-03-05_09-20-21,1772702421,103.09442663192749,1029.819295167923,7,3b52875c0a65,172.26.0.2,1029.819295167923,10,2010,2010,80400,80400,4256.909788385576,3212.652362607997,3532.6335235888564,500.0,2000,0,1,4256.909788385576,3212.652362607997,3532.6335235888564,1,102981.447,0.013,102981.389,102094.134,879.612,228.51,0.004,2010,2010,80400,80400,4.891095890410958,44.144520547945206,"[3436.685977629468, 3212.652362607997, 3224.285965732385, 4256.909788385576]","[500, 500, 500, 500]",482.4,285.5,14.5,459.42857142857144,399.5,20.5,482.4,285.5,14.5,0.0,0.5,1.0125,0.000285528,0.22806031554937362,-0.020652795575248697,0.4567221313714981,0.649709302186966,0.01693806496235387,-0.3641401429971059,0.008794,0.0,0.5,1.5187500000000003,0.00028552799999999995,0.4038510209038144,-0.013125741649197326,0.7832741609641484,0.683161389260065,0.0147125776195372,-0.3405678364492598,0.008794,0.0,0.5,1.5187499999999996,0.000285528,0.3957608739535014,-0.016271452031408746,0.7633327762285869,0.4981865425904592,0.017733029612615307,-0.3904820779959361,0.008794
