role,scenario,ablate_self,pad_attn_mean,pad_attn_max,eqs_AllyObjectiveProximity,eqs_AllyProximity,eqs_AssignedBaseProximity,eqs_CombatRange,eqs_CoverDensity,eqs_EnemyObjectiveProximity,eqs_EnemyVisibility,selfcross_match_ally,selfcross_match_base,selfcross_match_enemy,top_cross_ally,top_cross_base,top_cross_enemy,top_self_ally,top_self_base,top_self_enemy
strike,ally_clustered,False,0.0,0.0,-0.00707,0.21176,0.04142,0.02893,-0.04618,0.28111,0.17438,1.0,0.0,1.0,2,0,1,2,2,1
strike,ally_spread,False,0.0,0.0,0.02863,0.1642,0.01243,-0.01687,-0.09151,0.28775,0.11589,0.0,0.0,1.0,2,0,1,1,2,1
strike,enemy_converged,False,0.0,0.0,0.0832,0.17514,-0.09363,-0.06304,-0.09667,0.15227,0.13795,0.0,0.0,1.0,2,0,1,1,2,1
strike,enemy_dispersed,False,0.0,0.0,0.0666,0.07431,-0.02457,0.00788,-0.10705,0.24381,0.13308,0.0,0.0,1.0,2,0,1,1,2,1
strike,padding_stress_k0,False,0.0,0.0,,,,,,,,,,,,,,,,
strike,padding_stress_k1,False,0.0,0.0,,,,,,,,,,,,,,,,
strike,padding_stress_k2,False,0.0,0.0,,,,,,,,,,,,,,,,
strike,padding_stress_k3,False,0.0,0.0,,,,,,,,,,,,,,,,
strike,padding_stress_k4,False,0.0,0.0,,,,,,,,,,,,,,,,
vanguard,ally_clustered,False,0.0,0.0,-0.15853,-0.0608,0.13767,0.12362,-0.01046,0.33821,-0.03815,1.0,1.0,1.0,2,2,0,2,2,0
vanguard,ally_spread,False,0.0,0.0,-0.15876,-0.1231,0.117,0.11066,-0.03654,0.30275,-0.04228,1.0,1.0,1.0,2,2,0,2,2,0
vanguard,enemy_converged,False,0.0,0.0,-0.09667,-0.05652,0.04975,0.12663,-0.12577,0.33239,-0.0232,1.0,1.0,0.0,2,2,2,2,2,0
vanguard,enemy_dispersed,False,0.0,0.0,-0.12158,-0.09968,0.09554,0.14652,-0.11786,0.33244,-0.02355,1.0,1.0,1.0,2,2,0,2,2,0
vanguard,padding_stress_k0,False,0.0,0.0,,,,,,,,,,,,,,,,
vanguard,padding_stress_k1,False,0.0,0.0,,,,,,,,,,,,,,,,
vanguard,padding_stress_k2,False,0.0,0.0,,,,,,,,,,,,,,,,
vanguard,padding_stress_k3,False,0.0,0.0,,,,,,,,,,,,,,,,
vanguard,padding_stress_k4,False,0.0,0.0,,,,,,,,,,,,,,,,
support,ally_clustered,False,0.0,0.0,-0.07221,-0.04111,-0.03092,-0.04359,0.16683,0.11081,0.05311,1.0,0.0,1.0,2,0,0,2,2,0
support,ally_spread,False,0.0,0.0,-0.0856,-0.02937,-0.01221,-0.05376,0.14684,0.08717,-0.00969,1.0,0.0,1.0,2,0,0,2,2,0
support,enemy_converged,False,0.0,0.0,0.03225,-0.06812,0.06024,-0.06162,0.15555,0.11689,-0.08982,1.0,0.0,1.0,2,0,0,2,2,0
support,enemy_dispersed,False,0.0,0.0,0.01414,-0.03904,0.0531,-0.05779,0.1557,0.11961,-0.04567,1.0,0.0,0.0,2,0,0,2,2,2
support,padding_stress_k0,False,0.0,0.0,,,,,,,,,,,,,,,,
support,padding_stress_k1,False,0.0,0.0,,,,,,,,,,,,,,,,
support,padding_stress_k2,False,0.0,0.0,,,,,,,,,,,,,,,,
support,padding_stress_k3,False,0.0,0.0,,,,,,,,,,,,,,,,
support,padding_stress_k4,False,0.0,0.0,,,,,,,,,,,,,,,,
